vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,passengercount,tripdistance,fareamount,extra,mtatax,tipamount,tollsamount,improvementsurcharge,totalamount,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,duration
1,1,0,0,0,0,0,0,0,0,0,0,0,2,2.34,10.5,0.5,0.5,2.36,0.0,0.3,14.16,0,0,0,0,0,0,660.0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,1.04,5.0,0.5,0.5,0.0,0.0,0.3,6.3,1,0,0,1,0,0,190.0
1,1,0,0,0,0,0,0,0,0,0,0,0,6,2.84,14.0,0.0,0.5,2.96,0.0,0.3,17.76,0,1,0,0,1,0,1129.0
0,0,1,1,0,0,0,0,0,0,1,0,0,2,0.3,4.5,0.5,0.5,0.0,0.0,0.3,5.8,0,0,1,0,0,1,251.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.9,19.0,0.5,0.5,0.0,0.0,0.3,20.3,0,0,1,0,0,1,1649.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,5.27,22.0,0.0,0.5,0.0,0.0,0.3,22.8,0,1,0,0,1,0,1560.0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,3.3,13.5,0.0,0.5,2.85,0.0,0.3,17.15,1,0,0,1,0,0,949.0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.4,6.5,1.0,0.5,1.65,0.0,0.3,9.95,0,0,1,0,0,1,382.0
1,1,0,0,1,0,0,0,1,0,0,0,0,3,0.47,5.0,1.0,0.5,1.36,0.0,0.3,8.16,0,0,1,0,0,1,275.0
1,1,0,0,0,0,0,0,0,0,0,0,0,3,2.3,13.0,0.0,0.5,2.76,0.0,0.3,16.56,0,1,0,0,1,0,1080.0
1,1,0,0,1,0,0,0,0,0,1,0,0,2,0.95,5.5,0.5,0.5,1.02,0.0,0.3,7.82,0,0,1,0,0,1,240.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.66,6.5,0.5,0.5,1.0,0.0,0.3,8.8,0,0,1,0,0,1,450.0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.8,14.5,0.5,0.5,3.15,0.0,0.3,18.95,0,0,1,0,0,1,900.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.4,11.0,0.5,0.5,3.05,0.0,0.3,15.35,0,0,1,0,0,1,780.0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,4.24,22.5,0.0,0.5,4.66,0.0,0.3,27.96,1,0,0,1,0,0,2078.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.77,9.5,0.0,0.5,0.0,0.0,0.3,10.3,1,0,0,1,0,0,720.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.4,15.0,0.5,0.5,3.25,0.0,0.3,19.55,0,0,1,0,0,1,1334.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.5,12.5,1.0,0.5,0.0,0.0,0.3,14.3,0,0,1,0,0,1,1020.0
0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.5,9.5,0.5,0.5,1.5,0.0,0.3,12.3,0,0,1,0,0,1,544.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99,6.0,0.0,0.5,3.0,0.0,0.3,9.8,1,0,0,1,0,0,300.0
0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.2,10.5,1.0,0.5,1.6,0.0,0.3,13.9,0,0,1,0,0,1,720.0
0,1,0,0,0,0,0,0,0,0,0,0,0,2,3.3,22.0,1.0,0.5,4.75,0.0,0.3,28.55,0,0,1,0,0,1,2216.0
