vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,passengercount,tripdistance,fareamount,tipamount,totalamount,duration
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.16666666666666666,0.7954545454545455,0.6037735849056604,0.870279146141215,0.7461240310077519,685.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.47077922077922074,0.660377358490566,0.0,0.5910852713178294,1500.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.262987012987013,0.3018867924528302,0.16420361247947454,0.332687338501292,522.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.275974025974026,0.5471698113207547,0.16420361247947454,0.5264857881136951,1380.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3333333333333333,0.14285714285714285,0.24528301886792453,0.08210180623973727,0.2842377260981912,424.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.237012987012987,0.2641509433962264,0.20361247947454844,0.30813953488372087,468.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.2694805194805195,0.3773584905660377,0.19704433497536944,0.38759689922480617,789.0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.2646103896103896,0.3584905660377358,0.35467980295566504,0.41860465116279066,720.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.2305194805194805,0.2641509433962264,0.0,0.2680878552971576,451.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.16666666666666666,0.11688311688311688,0.3018867924528302,0.0,0.2842377260981912,660.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.37337662337662336,0.4716981132075472,0.451559934318555,0.5345607235142119,978.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.762987012987013,0.6981132075471698,0.4926108374384236,0.7364341085271318,1415.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.5681818181818181,0.7358490566037735,0.0,0.6556847545219638,1896.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.4383116883116883,0.4716981132075472,0.0,0.4295865633074935,924.0
